kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5481148,K02701.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,22.023514,1.398E-4,-1.398E-4,135.18349,0.00545,-0.00545,0.934,0.01,-0.703,1.932,0.153,-0.153,1670.0,200.0,-200.0,4.79,1.48,-0.49,639.0,,,39.45,35.65,-11.64,10.2,1,q1_q17_dr25_tce,5860.0,157.0,-192.0,4.489,0.062,-0.2,0.936,0.289,-0.096,299.59561,40.622822,14.818
7903086,K02761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.846861455,4.027E-6,-4.027E-6,131.90493,0.00209,-0.00209,0.48,0.043,-0.453,1.6605,0.0539,-0.0539,648.6,20.9,-20.9,2.23,0.62,-0.16,1337.0,,,753.4,624.67,-186.98,35.9,1,q1_q17_dr25_tce,5591.0,166.0,-183.0,4.559,0.033,-0.187,0.86,0.237,-0.063,295.77368,43.671951,15.881
12106929,K00359.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,5.93720557,1.538E-5,-1.538E-5,171.57597,0.00227,-0.00227,0.976,0.012,-0.006,4.882,0.171,-0.171,371.4,11.2,-11.2,1.84,0.32,-0.1,894.0,,,150.81,80.47,-30.75,59.9,1,q1_q17_dr25_tce,5857.0,158.0,-158.0,4.633,0.032,-0.128,0.712,0.124,-0.041,289.1702,50.627621,13.799
12107021,K00360.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,5.93719982,2.961E-5,-2.961E-5,135.95338,0.00407,-0.00407,0.748,0.206,-0.748,3.95,0.726,-0.726,175.6,14.2,-14.2,1.47,0.2,-0.1,1059.0,,,297.14,117.72,-62.66,37.0,1,q1_q17_dr25_tce,6102.0,120.0,-144.0,4.457,0.035,-0.105,1.026,0.14,-0.07,289.21481,50.650921,13.021
8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.63345402,2.882E-5,-2.882E-5,181.8556,0.0132,-0.0132,1.19,11.24,-0.079,3.817,0.755,-0.755,359.0,61.7,-61.7,24.87,8.04,-3.45,1750.0,,,2211.18,2171.51,-807.44,7.4,1,q1_q17_dr25_tce,6283.0,197.0,-241.0,4.372,0.105,-0.195,1.091,0.353,-0.151,296.93594,44.161045,12.179
1571511,K00362.01,,FALSE POSITIVE,FALSE POSITIVE,0.004,0,1,0,0,14.022451457,1.166E-6,-1.166E-6,177.5952096,6.65E-5,-6.65E-5,0.189,0.013,-0.017,8.08619,0.00571,-0.00571,20083.0,9.0,-9.0,14.93,4.59,-1.98,810.0,,,101.92,91.75,-33.91,2707.7,1,q1_q17_dr25_tce,6061.0,162.0,-180.0,4.401,0.09,-0.195,1.05,0.323,-0.139,290.99692,37.199219,13.424
2438070,K00363.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.442945167,2.572E-6,-2.572E-6,171.09721,8.64E-4,-8.64E-4,1.217,0.989,-0.152,4.0145,0.0477,-0.0477,677.9,7.8,-7.8,38.29,9.81,-13.08,1587.0,,,1499.89,1163.2,-917.06,102.8,1,q1_q17_dr25_tce,5657.0,169.0,-152.0,4.121,0.336,-0.144,1.428,0.366,-0.488,290.27777,37.78933,13.771
3747262,K03005.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.312459403,6.228E-6,-6.228E-6,132.22569,0.00371,-0.00371,0.732,0.06,-0.509,1.459,0.141,-0.141,36.9,3.6,-3.6,1.65,0.3,-0.57,2824.0,,,15018.33,8139.16,-9181.65,13.9,1,q1_q17_dr25_tce,6543.0,158.0,-177.0,3.782,0.293,-0.098,2.507,0.461,-0.856,291.534,38.816261,12.524
3328052,K03011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.11547854,2.43E-5,-2.43E-5,132.0118,0.0122,-0.0122,0.755,0.179,-0.515,3.665,0.283,-0.283,222.9,12.3,-12.3,1.66,0.54,-0.18,1521.0,,,1264.56,1243.36,-416.85,21.6,1,q1_q17_dr25_tce,6208.0,194.0,-259.0,4.454,0.054,-0.216,1.024,0.332,-0.111,287.19815,38.42897,15.542
9119568,K03087.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,5.54867998,7.541E-5,-7.541E-5,133.9285,0.0112,-0.0112,0.095,0.363,-0.095,4.665,0.302,-0.302,68.9,5.0,-5.0,0.68,0.05,-0.05,882.0,,,143.26,36.06,-28.54,15.4,1,q1_q17_dr25_tce,5258.0,105.0,-105.0,4.514,0.055,-0.055,0.835,0.063,-0.057,300.93738,45.49007,12.837
9119568,K03087.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,1.22174063,1.852E-5,-1.852E-5,132.0174,0.0125,-0.0125,0.004,0.462,-0.004,7.443,0.411,-0.411,32.2,2.4,-2.4,0.46,0.04,-0.03,1461.0,,,1081.5,272.3,-215.4,19.4,4,q1_q17_dr25_tce,5258.0,105.0,-105.0,4.514,0.055,-0.055,0.835,0.063,-0.057,300.93738,45.49007,12.837
6603043,K00368.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,110.32167272,1.714E-5,-1.714E-5,197.365128,1.21E-4,-1.21E-4,0.715,0.001,-0.002,13.3624,0.00884,-0.00884,7296.6,3.8,-3.8,18.6,7.25,-4.45,761.0,,,79.11,91.23,-41.43,2217.1,1,q1_q17_dr25_tce,9244.0,255.0,-438.0,4.159,0.128,-0.192,2.025,0.789,-0.485,290.85458,42.086922,11.375
7109851,K03012.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.086486129,2.41E-6,-2.41E-6,131.96598,0.00194,-0.00194,0.524,0.013,-0.456,0.8383,0.0626,-0.0626,66.0,4.5,-4.5,1.69,0.33,-0.59,2539.0,,,9816.28,5812.69,-6120.31,20.2,1,q1_q17_dr25_tce,5911.0,177.0,-159.0,3.861,0.315,-0.126,2.0,0.379,-0.704,289.32925,42.655811,12.988
8046689,K03092.01,,FALSE POSITIVE,FALSE POSITIVE,0.003,0,0,1,0,5.78542702,4.709E-5,-4.709E-5,137.09181,0.00756,-0.00756,0.163,0.3,-0.163,2.271,0.172,-0.172,256.2,19.5,-19.5,1.91,0.59,-0.26,1212.0,,,510.79,456.72,-183.4,15.4,1,q1_q17_dr25_tce,6555.0,162.0,-255.0,4.374,0.067,-0.202,1.178,0.366,-0.157,297.42636,43.816502,15.451
7024222,K00309.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,1.633107509,5.027E-6,-5.027E-6,170.19649,0.00224,-0.00224,0.35,0.078,-0.35,1.491,0.0934,-0.0934,60.8,3.6,-3.6,0.53,0.03,-0.05,1083.0,,,324.97,89.2,-81.86,21.7,1,q1_q17_dr25_tce,4579.0,124.0,-124.0,4.596,0.056,-0.024,0.684,0.048,-0.059,288.82303,42.542728,12.843
7024511,K00311.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,66.1544958,5.669E-4,-5.669E-4,175.64641,0.00621,-0.00621,0.8526,0.0749,-0.593,6.945,0.297,-0.297,1972.0,104.0,-104.0,3.33,0.35,-0.31,315.0,,,2.33,0.97,-0.66,42.7,,,4679.0,175.0,-157.0,4.627,0.053,-0.041,0.643,0.068,-0.06,288.9256,42.531509,12.655
5652983,K00371.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,498.391282,0.002024,-0.002024,244.08166,0.00262,-0.00262,0.959,0.333,-0.024,6.135,0.168,-0.168,1590.0,39.2,-39.2,17.14,0.69,-1.59,339.0,,,3.11,0.43,-0.74,49.7,1,q1_q17_dr25_tce,5134.0,68.0,-98.0,3.611,0.02,-0.014,3.107,0.124,-0.289,299.67615,40.856491,12.193
7906671,K03018.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,45.1178526,2.949E-4,-2.949E-4,156.99133,0.00553,-0.00553,0.97,0.002,-0.679,3.737,0.174,-0.174,389.2,25.2,-25.2,2.78,0.81,-0.54,517.0,,,16.87,14.7,-7.15,17.3,1,q1_q17_dr25_tce,5585.0,166.0,-166.0,4.339,0.19,-0.19,1.038,0.301,-0.201,296.78445,43.619011,14.72
3348285,K03021.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,0.803835923,4.017E-6,-4.017E-6,131.80207,0.00403,-0.00403,0.447,0.528,-0.248,1.397,0.138,-0.138,52.6,5.6,-5.6,0.78,0.23,-0.08,2129.0,,,4863.18,4296.22,-1496.64,12.4,1,q1_q17_dr25_tce,6242.0,174.0,-217.0,4.442,0.052,-0.208,1.047,0.313,-0.112,292.97775,38.42078,13.7
9959589,K03098.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.332557603,9.53E-6,-9.53E-6,132.05691,0.0069,-0.0069,1.174,0.45,-0.113,6.043,0.35,-0.35,225.3,10.1,-10.1,19.88,6.17,-2.05,1703.0,,,1983.27,1864.11,-597.74,28.1,1,q1_q17_dr25_tce,6091.0,189.0,-210.0,4.487,0.052,-0.208,0.967,0.3,-0.1,295.2374,46.81963,15.787
9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,11.32029599,1.718E-5,-1.718E-5,177.08388,0.00127,-0.00127,0.914,0.01,-0.011,4.5866,0.0978,-0.0978,4303.5,90.9,-90.9,8.02,0.0,0.0,811.0,,,102.12,0.0,0.0,85.0,1,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,293.26605,45.350697,13.29
12643589,K00376.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,44.14599042,4.487E-5,-4.487E-5,211.531127,8.21E-4,-8.21E-4,1.902,69.64,-1.242,3.4015,0.0372,-0.0372,4467.8,53.7,-53.7,121.48,39.43,-13.18,624.0,,,35.87,33.31,-10.93,99.6,1,q1_q17_dr25_tce,6692.0,160.0,-220.0,4.383,0.065,-0.208,1.152,0.374,-0.125,288.32147,51.726601,13.754
12643589,K00376.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.411627439,8.27E-7,-8.27E-7,178.263426,4.53E-4,-4.53E-4,0.853,0.039,-0.614,1.0814,0.0154,-0.0154,515.2,11.1,-11.1,2.99,0.97,-0.33,1966.0,,,3523.63,3272.15,-1073.69,53.1,2,q1_q17_dr25_tce,6692.0,160.0,-220.0,4.383,0.065,-0.208,1.152,0.374,-0.125,288.32147,51.726601,13.754
7732285,K03023.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,4.39049637,1.655E-5,-1.655E-5,134.12735,0.00381,-0.00381,0.389,0.063,-0.389,3.0112,0.081,-0.081,113.5,4.3,-4.3,2.07,0.61,-0.81,1637.0,,,1701.16,1476.88,-1154.7,31.1,1,q1_q17_dr25_tce,6429.0,181.0,-227.0,3.989,0.319,-0.147,1.908,0.559,-0.746,282.25177,43.493759,13.33
5124254,K03099.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,14.0498182,8.992E-5,-8.992E-5,140.50396,0.005,-0.005,0.569,0.372,-0.36,2.907,0.161,-0.161,472.0,37.8,-37.8,1.45,0.07,-0.13,480.0,,,12.56,2.96,-3.4,14.5,1,q1_q17_dr25_tce,4228.0,128.0,-141.0,4.618,0.052,-0.017,0.652,0.031,-0.056,297.85632,40.218102,15.648
10031500,K03107.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,8.589562,2.232E-4,-2.232E-4,132.0335,0.0231,-0.0231,1.138,15.24,-0.269,9.885,0.889,-0.889,245.4,20.8,-20.8,15.95,4.22,-2.46,891.0,,,148.61,121.94,-55.7,14.0,1,q1_q17_dr25_tce,5766.0,190.0,-190.0,4.404,0.149,-0.182,0.945,0.25,-0.146,298.71362,46.903118,15.214
2449074,K00378.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,4.94402197,1.853E-5,-1.853E-5,173.75192,0.00277,-0.00277,1.157,12.72,-0.155,4.062,0.16,-0.16,363.3,13.0,-13.0,32.92,8.4,-12.61,1419.0,,,958.29,775.12,-641.99,33.0,1,q1_q17_dr25_tce,6013.0,211.0,-211.0,4.035,0.36,-0.144,1.7,0.434,-0.651,292.6933,37.705513,13.15
2446113,K00379.01,,FALSE POSITIVE,FALSE POSITIVE,0.073,0,0,1,0,6.71725648,1.155E-5,-1.155E-5,170.99733,0.00137,-0.00137,0.163,0.311,-0.163,2.5207,0.0447,-0.0447,272.7,6.3,-6.3,2.78,0.5,-0.6,1264.0,,,603.71,303.75,-266.08,49.1,1,q1_q17_dr25_tce,6078.0,122.0,-134.0,4.094,0.174,-0.116,1.683,0.3,-0.367,292.05676,37.776192,13.319
